R	53.3099	-6.19498	E816	07 Feb 2024	E816\n11:05 - Bray to Malahide (0 mins late)\nArrived Booterstown next stop Sydney Parade	Northbound
R	53.3334	-6.40628	A223	07 Feb 2024	A223\n16:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A225	07 Feb 2024	A225\n17:25 - Cork to Dublin Heuston (1 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A227	07 Feb 2024	A227\n18:25 - Cork to Dublin Heuston (1 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	07 Feb 2024	A229\n19:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	07 Feb 2024	A231\n20:25 - Cork to Dublin Heuston (3 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P211	07 Feb 2024	P211\n10:25 - Portlaoise to Dublin Heuston (0 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3345	-6.43038	D208	07 Feb 2024	D208\n11:20 - Dublin Heuston to Portlaoise (-1 mins late)\nDeparted Kishogue next stop Adamstown	To Portlaoise
R	53.3353	-6.45233	A704	07 Feb 2024	A704\n11:25 - Dublin Heuston to Galway (0 mins late)\nDeparted Adamstown next stop Portarlington	To Galway
R	53.3395	-7.61596	A718	07 Feb 2024	A718\n19:35 - Dublin Heuston to Galway (9 mins late)\nDeparted Clara next stop Athlone	To Galway
R	53.3397	-6.23773	E111	07 Feb 2024	E111\n11:00 - Howth to Greystones (0 mins late)\nDeparted Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.3397	-6.23773	E917	07 Feb 2024	E917\n10:55 - Bray to Howth (0 mins late)\nDeparted Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3531	-6.24591	D408	07 Feb 2024	D408\n11:39 - Dublin Connolly to Hazelhatch (-7 mins late)\nArrived Dublin Connolly next stop Drumcondra	Southbound
R	53.3629	-6.22753	E222	07 Feb 2024	E222\n11:10 - Malahide to Bray (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3629	-6.22753	P703	07 Feb 2024	P703\n10:15 - Dundalk to Dublin Connolly (1 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	P740	07 Feb 2024	P740\n10:43 - Maynooth to Dublin Connolly (12 mins late)\nArrived Drumcondra next stop Dublin Connolly	Southbound
